velocity,condition
28.8,EOFT
93.29635191,EOFTanDF
120.7663395,ECFTanDF
67.56,ECFT
115.51329,EOFTanDB
605.7545983,ECFTanDB
75.1649593,EOFTanDF
42.48,EOFT
52.32,ECFT
76.10160286,ECFTanDF
88.7114802,EOFTanDB
118.0767628,ECFTanDB
108.1857814,EOFTanDB
168.2270718,ECFTanDB
121.097084,EOFTanDF
87.6,ECFT
34.68,EOFT
94.0226201,EOFTanDF
42.24,ECFT
216.7697037,ECFTanDF
156.0863537,ECFTanDB
103.9698739,EOFTanDB
49.2,EOFT
245.3200162,ECFTanDB
142.9378199,ECFTanDF
85.60550252,EOFTanDF
41.16,EOFT
125.9278548,ECFTanDF
123.8235905,EOFTanDB
49.32,ECFT
416.7377894,ECFTanDB
1525.121442,ECFTanDF
91.32,ECFT
158.6773391,EOFTanDF
555.96,EOFT
80.76,ECFT
275.5255674,EOFTanDF
390.1824967,ECFTanDB
172.9187463,EOFTanDB
60,ECFT
1565.462978,EOFTanDB
1554.429646,ECFTanDF
51.6,EOFT
152.2430048,EOFTanDF
322.6656766,ECFTanDF
757.2998566,ECFTanDB
90,EOFT
166.1542207,EOFTanDB
491.9876719,ECFTanDB
1442.559336,EOFTanDB
1679.64,ECFT
381.1233688,ECFTanDF
1613.127788,EOFTanDF
39.6,EOFT
132.0134424,ECFTanDB
205.3807883,EOFTanDB
41.76,ECFTanDF
41.52,ECFT
55.2,EOFT
137.985645,EOFTanDF
41.06113703,EOFT
499.5175036,ECFTanDF
110.1184757,ECFTanDB
123.7775236,EOFTanDB
91.82483504,EOFTanDB
283.692332,ECFTanDF
37.79619338,ECFT
98.6955599,EOFTanDF
49.52306549,EOFT
211.9575376,EOFTanDF
404.296158,ECFTanDB
60.08021293,ECFT
192.6362691,EOFTanDB
51.72236156,ECFT
179.7630263,ECFTanDB
157.275617,ECFTanDF
30.34967704,EOFT
128.6999759,EOFTanDF
79.4113794,ECFT
157.8408812,ECFTanDF
114.0971015,EOFTanDF
75.87510266,EOFT
258.0765836,ECFTanDB
117.5395347,EOFTanDB
279.6662256,ECFTanDF
41.15523866,ECFT
66.5085338,EOFT
101.3091724,EOFTanDF
126.6564594,ECFTanDB
137.0512447,EOFTanDB
200.7498764,EOFTanDF
50.04,EOFT
62.04,ECFT
358.7325348,ECFTanDF
160.220699,EOFTanDB
180.5437113,ECFTanDB
84,EOFT
779.3862244,EOFTanDF
258.8351454,ECFTanDF
87.96,ECFT
136.6503691,EOFTanDB
180.2231434,ECFTanDB
133.3989784,EOFTanDB
50.4,ECFT
165.8592283,EOFTanDF
265.3649667,ECFTanDB
123.4966232,EOFTanDF
55.2,EOFT
143.1247143,ECFTanDB
158.5927337,ECFTanDF
50.28,ECFT
81.92585318,EOFTanDB
225.4827926,ECFTanDF
279.3285453,ECFTanDB
57.96,EOFT
56.4,EOFT
134.229151,EOFTanDF
70.8,ECFT
161.7076425,EOFTanDB
179.8195309,ECFTanDF
63.6,ECFT
206.2391789,ECFTanDF
182.3924703,ECFTanDB
32.64,EOFT
148.8071928,EOFTanDF
127.1778002,ECFTanDB
121.4378809,EOFTanDF
50.76,ECFT
107.3094053,EOFTanDB
208.1160226,ECFTanDF
138.2783135,EOFTanDB
37.08,ECFT
73.33026911,EOFTanDF
22.8,EOFT
40.92,EOFT
86.93149916,ECFTanDB
119.4568133,ECFTanDF
102.0000232,EOFTanDB
123.007472,ECFTanDB
144.2048287,EOFTanDB
150.7349839,ECFTanDF
42,ECFT
34.56,EOFT
64.48442498,EOFTanDF
134.4499567,ECFTanDB
102.259825,EOFTanDB
32.4,ECFT
112.8473095,ECFTanDF
67.94905621,EOFTanDF
49.2,EOFT
106.2945442,EOFTanDB
251.4715703,ECFTanDB
148.5844481,ECFTanDF
46.8,EOFT
51.6,EOFT
81.5716545,EOFTanDF
80.04,ECFT
225.859556,ECFTanDF
67.50295357,EOFTanDB
96.90097014,EOFTanDB
91.2,ECFT
203.4087874,ECFTanDB
114.7258925,EOFTanDF
111.6051409,EOFTanDF
45.6,EOFT
121.5603215,ECFTanDF
189.3218819,ECFTanDB
78.12,ECFT
41.88,EOFT
92.58296264,EOFTanDF
172.8813286,ECFTanDF
79.2,ECFT
106.1263386,EOFTanDB
681.56292,ECFTanDB
155.3803664,EOFTanDF
44.4,EOFT
57.24,ECFT
132.6490283,ECFTanDF
81.73761539,EOFTanDB
178.706445,ECFTanDB
