SB02_Trial17,SB02_Trial2,SB02_Trial12,SB02_Trial7,SB02_Trial22,SB02_Trial31,SB05_Trial31,SB05_Trial22,SB05_Trial12,SB05_Trial7,SB05_Trial17,SB05_Trial2,SB04_Trial2,SB04_Trial17,SB04_Trial7,SB04_Trial12,SB04_Trial22,SB04_Trial31,SB06_Trial22,SB06_Trial31,SB06_Trial2,SB06_Trial17,SB06_Trial7,SB06_Trial12,SB08_Trial22,SB08_Trial31,SB08_Trial17,SB08_Trial2,SB08_Trial12,SB08_Trial7,SB01_Trial2,SB01_Trial17,SB01_Trial7,SB01_Trial12,SB01_Trial22,SB01_Trial31
-0.325366538,0.372825078,3.429426149,-0.505884496,-0.620751369,-1.650640224,-0.417432718,-1.787459793,1.992480213,1.383512663,-0.810883349,3.958417772,2.926254995,2.040805339,2.468456864,-1.572322635,1.639680198,2.299572379,1.715806722,0.040852409,1.569513998,0.902506967,-1.032783032,1.331311012,-0.264677452,-0.587863521,1.484307701,-0.563771215,-0.775932995,0.707963836,2.676134985,2.856519262,1.809666992,0.601083193,3.141681486,-1.425389731
-0.346486597,0.373590365,3.436334662,-0.476345865,-0.612632607,-1.655941095,-0.425743471,-1.766987795,1.959167035,1.366315079,-0.79617219,3.935971813,2.926254995,2.034229066,2.388436396,-1.577748537,1.623649478,2.302735447,1.714160189,0.00431331,1.56411359,0.910245209,-1.035612476,1.33269331,-0.272024297,-0.583428829,1.499970186,-0.554878799,-0.777629436,0.703269792,2.680306586,2.862437763,1.809221255,0.603676562,3.123497471,-1.428829963
-0.367087125,0.374546973,3.442790887,-0.447002853,-0.604535399,-1.661147307,-0.434054224,-1.746584266,1.926368423,1.349117496,-0.781972816,3.913735629,2.926254995,2.027769533,2.309391788,-1.583086925,1.607731255,2.30558846,1.712537178,-0.031482997,1.558841763,0.91783854,-1.038275482,1.333971872,-0.279184358,-0.578932571,1.515156443,-0.545986383,-0.779306377,0.698575749,2.684323684,2.868247239,1.808886952,0.606123825,3.105473902,-1.432243254
-0.387213299,0.375503582,3.448792482,-0.417855462,-0.596457351,-1.666282525,-0.442602428,-1.726180736,1.89409922,1.332104833,-0.768285992,3.891499445,2.926041046,2.021504563,2.231323039,-1.588381555,1.591925528,2.308133918,1.710925928,-0.06653651,1.553827098,0.925286961,-1.04077205,1.335145399,-0.286095374,-0.574372823,1.529868682,-0.537449664,-0.78095407,0.693881706,2.688340782,2.873963266,1.808441214,0.608424984,3.08758404,-1.4356323
-0.406819942,0.37646019,3.45434179,-0.38890369,-0.588400857,-1.671323085,-0.451150631,-1.705811441,1.862349531,1.315092169,-0.755111717,3.869263261,2.925827098,2.015356333,2.154230149,-1.593588671,1.576344793,2.31037182,1.7093382,-0.10084723,1.549069596,0.932575979,-1.042935742,1.336212596,-0.292819605,-0.569751509,1.544105798,-0.529090793,-0.782579825,0.688940608,2.69235788,2.879570267,1.807995477,0.610580037,3.069854625,-1.438994406
-0.425929643,0.377416798,3.459436467,-0.360343159,-0.580365918,-1.676292651,-0.459698835,-1.685510613,1.831124303,1.298264426,-0.742449228,3.847027077,2.925399201,2.009363753,2.078113119,-1.598708272,1.560820306,2.312299666,1.707762233,-0.134415157,1.544440675,0.939720087,-1.045099434,1.337176055,-0.29929479,-0.565067282,1.557868896,-0.52090977,-0.784181207,0.683752455,2.696220473,2.885099393,1.807661174,0.612625511,3.052258916,-1.442332266
-0.444542401,0.378373407,3.464076513,-0.331978248,-0.572352532,-1.681167559,-0.468484488,-1.665209786,1.800418587,1.281621604,-0.730298524,3.825000668,2.924971304,2.003487912,2.002971947,-1.603740359,1.545520813,2.313917457,1.706209787,-0.167240291,1.540068915,0.946719284,-1.046763813,1.338031887,-0.305645453,-0.560318796,1.571157976,-0.512906596,-0.785755776,0.678811357,2.699928564,2.890519494,1.807215436,0.614488353,3.034823654,-1.445640492
-0.462658216,0.379330015,3.468266615,-0.304004577,-0.564358306,-1.685947808,-0.477032692,-1.644943193,1.770237334,1.264978781,-0.718661134,3.802764484,2.924543408,1.997806636,1.928318706,-1.608728689,1.530333815,2.315227693,1.704669103,-0.199322631,1.535825738,0.953544587,-1.048428192,1.338783982,-0.31174707,-0.555509127,1.583975247,-0.505259118,-0.78730841,0.673376149,2.703636654,2.895846145,1.806769699,0.616241617,3.01754884,-1.448927166
-0.480254501,0.380286623,3.472002087,-0.276226526,-0.556385634,-1.690657063,-0.485818345,-1.624745068,1.740575593,1.248335958,-0.707536292,3.780738075,2.923901563,1.992242098,1.855129254,-1.613673261,1.515259314,2.316227872,1.70315194,-0.230662179,1.531839722,0.960239471,-1.049759695,1.339429746,-0.317599642,-0.5506377,1.596317396,-0.49761164,-0.788834231,0.667940941,2.70719024,2.901079346,1.806212527,0.617848775,3.000407731,-1.452181513
-0.497376431,0.381434553,3.475282928,-0.248644095,-0.548434516,-1.69527166,-0.494603999,-1.604546943,1.711443261,1.232062976,-0.696926292,3.758501891,2.923259718,1.986794298,1.782915661,-1.618486561,1.500353557,2.316920497,1.7016583,-0.261258933,1.528110869,0.966774953,-1.05092476,1.339970477,-0.323265429,-0.545701437,1.608186631,-0.490142011,-0.790335679,0.662505733,2.710743827,2.906203522,1.80576679,0.619346354,2.983400329,-1.455414307
